City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Kalawit,PH,2020-11-09 03:08:40,8.07,122.52,85.86,67,7,1.54
95,Khasan,RU,2020-11-09 03:08:41,42.43,130.64,38.17,61,1,17.98
96,Constitucion,CL,2020-11-09 03:08:41,-35.33,-72.42,55.74,71,79,9.51
97,Codrington,AU,2020-11-09 03:08:41,-38.27,141.97,76.12,61,54,8.1
98,Vaini,TO,2020-11-09 03:08:41,-21.2,-175.2,82.4,69,20,8.05
99,Puerto Ayora,EC,2020-11-09 03:08:41,-0.74,-90.35,68.0,88,13,5.99
100,Novoagansk,RU,2020-11-09 03:08:41,61.94,76.66,29.23,98,100,11.81
101,Road Town,VG,2020-11-09 03:08:42,18.42,-64.62,78.8,83,90,9.17
102,Eyl,SO,2020-11-09 03:08:42,7.98,49.82,78.89,75,9,15.7
103,Ngunguru,NZ,2020-11-09 03:08:42,-35.62,174.5,69.01,67,100,15.01
104,Vostok,RU,2020-11-09 03:08:42,46.49,135.88,18.81,91,99,8.7
105,San Quintin,MX,2020-11-09 03:08:42,30.48,-115.95,61.29,64,33,18.12
106,Kjopsvik,NO,2020-11-09 03:08:42,68.1,16.37,43.0,76,100,32.21
107,Harper,LR,2020-11-09 03:08:43,4.38,-7.72,78.39,83,96,6.31
108,Tiksi,RU,2020-11-09 03:08:43,71.69,128.87,-8.84,88,5,4.09
109,Tucurui,BR,2020-11-09 03:08:43,-3.77,-49.67,78.06,76,16,3.51
110,Karratha,AU,2020-11-09 03:08:43,-20.74,116.85,90.14,25,0,15.97
111,Bassano,CA,2020-11-09 03:08:43,50.78,-112.47,17.6,78,100,23.04
112,Hamilton,US,2020-11-09 03:08:43,39.18,-84.53,64.4,55,1,9.17
113,Ambulu,ID,2020-11-09 03:08:44,-8.35,113.61,86.16,62,96,5.82
114,Souillac,MU,2020-11-09 03:08:44,-20.52,57.52,73.4,88,40,11.41
115,Jiaozuo,CN,2020-11-09 03:08:44,35.24,113.23,61.77,29,79,3.65
116,Krasnoselkup,RU,2020-11-09 03:08:44,65.7,82.47,32.0,99,100,6.26
117,Lukulu,ZM,2020-11-09 03:08:44,-14.37,23.24,70.18,56,0,4.5
118,Ribeira Grande,PT,2020-11-09 03:08:44,38.52,-28.7,61.27,65,59,14.23
119,Yulara,AU,2020-11-09 03:08:44,-25.24,130.99,95.0,13,0,11.41
120,Provideniya,RU,2020-11-09 03:08:45,64.38,-173.3,33.8,86,90,11.18
121,San Policarpo,PH,2020-11-09 03:08:45,12.18,125.51,84.99,74,87,7.76
122,Sergeyevka,KZ,2020-11-09 03:08:45,53.88,67.42,36.93,87,100,16.2
123,Hilo,US,2020-11-09 03:08:45,19.73,-155.09,80.6,69,75,11.41
124,Takoradi,GH,2020-11-09 03:08:45,4.88,-1.76,78.06,84,48,4.97
125,Vao,NC,2020-11-09 03:08:45,-22.67,167.48,70.79,77,8,19.53
126,Ahipara,NZ,2020-11-09 03:08:46,-35.17,173.17,59.79,82,97,12.19
127,Ocampo,MX,2020-11-09 03:08:46,21.65,-101.5,56.62,41,0,5.79
128,Fortuna,US,2020-11-09 03:08:46,40.6,-124.16,46.99,65,1,10.29
129,Bredasdorp,ZA,2020-11-09 03:08:46,-34.53,20.04,50.0,76,57,6.93
130,Korla,CN,2020-11-09 03:08:46,41.76,86.15,46.94,44,10,1.97
131,Saint-Quentin,FR,2020-11-09 03:08:47,49.83,3.33,52.0,100,90,6.93
132,Skibbereen,IE,2020-11-09 03:08:47,51.55,-9.27,53.6,100,90,16.11
133,Broome,US,2020-11-09 03:08:47,42.25,-75.83,57.2,47,1,3.36
134,Taipei,TW,2020-11-09 03:04:05,25.05,121.53,70.0,77,75,12.75
135,Inverell,AU,2020-11-09 03:08:47,-29.78,151.12,77.0,37,0,5.99
136,Katherine,AU,2020-11-09 03:08:48,-14.47,132.27,96.8,39,68,9.17
137,Corbelia,BR,2020-11-09 03:08:48,-24.8,-53.31,74.7,45,78,3.94
138,Ballina,AU,2020-11-09 03:08:48,-28.87,153.57,73.0,60,90,16.11
139,Tomesti,RO,2020-11-09 03:08:48,47.12,27.68,39.2,100,0,5.82
140,Half Moon Bay,US,2020-11-09 03:08:48,37.46,-122.43,50.0,71,20,9.17
141,Srandakan,ID,2020-11-09 03:08:49,-7.94,110.25,84.81,69,89,10.51
142,Christchurch,NZ,2020-11-09 03:08:49,-43.53,172.63,59.0,47,86,12.75
143,Cockburn Town,TC,2020-11-09 03:08:49,21.46,-71.14,80.58,83,100,24.9
144,Qaanaaq,GL,2020-11-09 03:08:49,77.48,-69.36,-8.14,70,0,8.08
145,Masvingo,ZW,2020-11-09 03:08:49,-20.06,30.83,74.52,48,97,7.85
146,Hami,CN,2020-11-09 03:08:49,42.8,93.45,48.38,39,0,5.64
147,Mechetinskaya,RU,2020-11-09 03:08:50,46.77,40.46,46.22,95,0,4.25
148,Yeniseysk,RU,2020-11-09 03:08:50,58.45,92.17,39.4,85,100,9.51
149,Buala,SB,2020-11-09 03:08:50,-8.14,159.59,87.22,60,11,3.6
150,Taseyevo,RU,2020-11-09 03:08:50,57.22,94.9,40.33,75,100,6.22
151,Buckeye,US,2020-11-09 03:04:44,33.37,-112.58,63.0,39,23,13.87
152,Dingle,PH,2020-11-09 03:08:50,11.0,122.67,85.26,73,27,2.21
